"","overall_pick","draft_team","total_games_played","educational_prestige","pick_bucket","career_bucket","team_conference"
"1532","32","PHO","63","OtherCollege","SecondRound","ShortCareer","Western"
"1533","33","PHI","72","OtherCollege","SecondRound","ShortCareer","Eastern"
"1534","34","PHI","119","OtherCollege","SecondRound","ShortCareer","Eastern"
"1535","35","ATL","12","NonCollegiate","SecondRound","ShortCareer","Eastern"
"1536","36","CHO","171","OtherCollege","SecondRound","ShortCareer","Eastern"
"1537","37","DAL","23","NonCollegiate","SecondRound","ShortCareer","Western"
"1538","38","CHI","169","OtherCollege","SecondRound","ShortCareer","Eastern"
"1539","39","NOP","29","NonCollegiate","SecondRound","ShortCareer","Western"
"1540","40","SAC","72","OtherCollege","SecondRound","ShortCareer","Western"
"1541","41","GSW","158","PowerSchool","SecondRound","ShortCareer","Western"
"1542","42","PHI","71","OtherCollege","SecondRound","ShortCareer","Eastern"
"1543","43","MIN","119","OtherCollege","SecondRound","ShortCareer","Western"
"1544","44","MIA","53","OtherCollege","SecondRound","ShortCareer","Eastern"
"1545","45","DET","109","OtherCollege","SecondRound","ShortCareer","Eastern"
"1546","46","ORL","131","OtherCollege","SecondRound","ShortCareer","Eastern"
"1547","47","SAC","64","OtherCollege","SecondRound","ShortCareer","Western"
"1548","48","LAC","189","OtherCollege","SecondRound","ShortCareer","Western"
"1549","49","SAS","42","OtherCollege","SecondRound","ShortCareer","Western"
"1550","50","IND","37","OtherCollege","SecondRound","ShortCareer","Eastern"
"1551","51","BOS","40","OtherCollege","SecondRound","ShortCareer","Eastern"
"1552","52","CHO","118","OtherCollege","SecondRound","ShortCareer","Eastern"
"1553","53","UTA","4","OtherCollege","SecondRound","ShortCareer","Western"
"1554","54","PHI","4","OtherCollege","SecondRound","ShortCareer","Eastern"
"1555","55","NYK","53","OtherCollege","SecondRound","ShortCareer","Eastern"
"1556","57","NOP","24","OtherCollege","SecondRound","ShortCareer","Western"
"1557","58","GSW","80","OtherCollege","SecondRound","ShortCareer","Western"
"1558","59","TOR","6","OtherCollege","SecondRound","ShortCareer","Eastern"
"1559","1","MIN","144","OtherCollege","Top5","ShortCareer","Western"
"1560","2","GSW","39","OtherCollege","Top5","ShortCareer","Western"
"1561","3","CHO","126","NonCollegiate","Top5","ShortCareer","Eastern"
"1562","4","CHI","88","OtherCollege","Top5","ShortCareer","Eastern"
"1563","5","CLE","134","OtherCollege","Top5","ShortCareer","Eastern"
"1564","6","ATL","98","OtherCollege","Lottery","ShortCareer","Eastern"
"1565","7","DET","92","NonCollegiate","Lottery","ShortCareer","Eastern"
"1566","8","NYK","134","OtherCollege","Lottery","ShortCareer","Eastern"
"1567","9","WAS","136","NonCollegiate","Lottery","ShortCareer","Eastern"
"1568","10","PHO","78","OtherCollege","Lottery","ShortCareer","Western"
"1569","11","SAS","133","OtherCollege","Lottery","ShortCareer","Western"
"1570","12","SAC","135","OtherCollege","Lottery","ShortCareer","Western"
"1571","13","NOP","78","OtherCollege","Lottery","ShortCareer","Western"
