"","mpg","overall_pick","pick_bucket","educational_prestige","team_conference"
"444",22.6,4,"Top5","OtherCollege","Western"
"445",21.1,5,"Top5","OtherCollege","Western"
"446",31.1,6,"Lottery","PowerSchool","Eastern"
"447",25.9,7,"Lottery","PowerSchool","Eastern"
"448",17.8,8,"Lottery","OtherCollege","Western"
"449",32.7,9,"Lottery","NonCollegiate","Eastern"
"450",20.1,10,"Lottery","PowerSchool","Eastern"
"451",20.4,11,"Lottery","OtherCollege","Western"
"452",17.4,12,"Lottery","OtherCollege","Eastern"
"453",29.2,13,"Lottery","PowerSchool","Eastern"
"454",25,14,"Lottery","OtherCollege","Western"
"455",19.6,15,"MidtoLateFirst","OtherCollege","Western"
"456",24.9,16,"MidtoLateFirst","OtherCollege","Eastern"
"457",16,17,"MidtoLateFirst","OtherCollege","Eastern"
"458",13.9,18,"MidtoLateFirst","NonCollegiate","Western"
"459",16.5,19,"MidtoLateFirst","PowerSchool","Eastern"
"460",6.9,20,"MidtoLateFirst","OtherCollege","Western"
"461",27.8,21,"MidtoLateFirst","OtherCollege","Eastern"
"462",13.5,22,"MidtoLateFirst","OtherCollege","Eastern"
"463",22.2,23,"MidtoLateFirst","OtherCollege","Western"
"464",17.1,24,"MidtoLateFirst","OtherCollege","Western"
"465",10.8,25,"MidtoLateFirst","OtherCollege","Eastern"
"466",13.9,26,"MidtoLateFirst","OtherCollege","Eastern"
"467",16.3,27,"MidtoLateFirst","PowerSchool","Western"
"468",10,28,"MidtoLateFirst","OtherCollege","Eastern"
"471",8.3,31,"SecondRound","PowerSchool","Eastern"
"472",4.8,32,"SecondRound","OtherCollege","Western"
"473",4.9,33,"SecondRound","NonCollegiate","Eastern"
"474",10.1,34,"SecondRound","OtherCollege","Western"
"475",7.3,35,"SecondRound","OtherCollege","Eastern"
"476",4.5,36,"SecondRound","OtherCollege","Eastern"
"477",19.6,37,"SecondRound","OtherCollege","Western"
"478",11.7,38,"SecondRound","OtherCollege","Eastern"
"479",19.6,39,"SecondRound","OtherCollege","Western"
"481",4.7,41,"SecondRound","PowerSchool","Western"
"482",31.9,42,"SecondRound","OtherCollege","Western"
"484",23.8,44,"SecondRound","OtherCollege","Eastern"
"485",7.3,45,"SecondRound","OtherCollege","Eastern"
"486",22.1,46,"SecondRound","OtherCollege","Eastern"
"487",27.4,47,"SecondRound","PowerSchool","Western"
"488",19.9,48,"SecondRound","NonCollegiate","Eastern"
"490",15.8,50,"SecondRound","OtherCollege","Eastern"
"491",9.3,51,"SecondRound","PowerSchool","Western"
"494",23.1,54,"SecondRound","OtherCollege","Western"
"498",26.3,1,"Top5","OtherCollege","Western"
"499",33.9,2,"Top5","OtherCollege","Western"
"500",25.8,3,"Top5","PowerSchool","Western"
"501",34.8,4,"Top5","OtherCollege","Eastern"
"502",30.1,5,"Top5","OtherCollege","Western"
"503",14.3,6,"Lottery","OtherCollege","Western"
"504",29.4,7,"Lottery","OtherCollege","Western"
"505",30.8,8,"Lottery","OtherCollege","Eastern"
"506",33.8,9,"Lottery","NonCollegiate","Eastern"
"507",34.2,10,"Lottery","PowerSchool","Eastern"
"508",25.6,11,"Lottery","OtherCollege","Eastern"
"509",15,12,"Lottery","OtherCollege","Eastern"
"510",22.6,13,"Lottery","OtherCollege","Eastern"
"511",35.3,14,"Lottery","OtherCollege","Western"
"512",26.4,15,"MidtoLateFirst","OtherCollege","Eastern"
"513",16.3,16,"MidtoLateFirst","OtherCollege","Western"
"514",22.2,17,"MidtoLateFirst","NonCollegiate","Western"
"515",5.3,18,"MidtoLateFirst","NonCollegiate","Western"
"516",20,19,"MidtoLateFirst","OtherCollege","Eastern"
"517",18.8,20,"MidtoLateFirst","PowerSchool","Eastern"
"518",29.8,21,"MidtoLateFirst","OtherCollege","Western"
"519",17.9,22,"MidtoLateFirst","OtherCollege","Western"
"520",22.7,23,"MidtoLateFirst","OtherCollege","Western"
"521",16.6,24,"MidtoLateFirst","OtherCollege","Western"
"522",28.6,25,"MidtoLateFirst","NonCollegiate","Eastern"
"523",11.1,26,"MidtoLateFirst","OtherCollege","Western"
"524",13.8,27,"MidtoLateFirst","NonCollegiate","Western"
"525",14.3,28,"MidtoLateFirst","OtherCollege","Eastern"
"526",15.8,29,"MidtoLateFirst","PowerSchool","Western"
"527",10.2,30,"MidtoLateFirst","OtherCollege","Western"
"528",24.6,31,"SecondRound","PowerSchool","Western"
"529",32,32,"SecondRound","NonCollegiate","Western"
