"","total_games_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"1715",277,33,"SecondRound","PowerSchool","Western"
"1716",240,34,"SecondRound","PowerSchool","Eastern"
"1717",32,35,"SecondRound","OtherCollege","Eastern"
"1718",230,36,"SecondRound","NonCollegiate","Eastern"
"1719",204,37,"SecondRound","PowerSchool","Western"
"1720",39,38,"SecondRound","OtherCollege","Eastern"
"1721",143,39,"SecondRound","NonCollegiate","Eastern"
"1722",131,40,"SecondRound","NonCollegiate","Eastern"
"1723",166,41,"SecondRound","PowerSchool","Eastern"
"1724",269,42,"SecondRound","OtherCollege","Eastern"
"1727",207,45,"SecondRound","PowerSchool","Eastern"
"1728",235,46,"SecondRound","OtherCollege","Western"
"1729",220,47,"SecondRound","PowerSchool","Western"
"1730",163,48,"SecondRound","OtherCollege","Western"
"1731",143,49,"SecondRound","OtherCollege","Western"
"1732",72,50,"SecondRound","OtherCollege","Eastern"
"1734",2,52,"SecondRound","OtherCollege","Western"
"1735",11,53,"SecondRound","OtherCollege","Western"
"1736",178,54,"SecondRound","OtherCollege","Western"
"1737",2,55,"SecondRound","NonCollegiate","Eastern"
"1738",16,56,"SecondRound","PowerSchool","Eastern"
"1739",10,57,"SecondRound","OtherCollege","Western"
"1740",11,58,"SecondRound","PowerSchool","Western"
"1741",5,59,"SecondRound","OtherCollege","Western"
"1742",22,60,"SecondRound","OtherCollege","Eastern"
"1743",85,1,"Top5","PowerSchool","Western"
"1744",187,2,"Top5","OtherCollege","Western"
"1745",198,3,"Top5","PowerSchool","Eastern"
"1746",139,4,"Top5","OtherCollege","Western"
"1747",181,5,"Top5","OtherCollege","Eastern"
"1748",134,6,"Lottery","OtherCollege","Western"
"1749",195,7,"Lottery","OtherCollege","Eastern"
"1750",194,8,"Lottery","OtherCollege","Eastern"
"1751",147,9,"Lottery","OtherCollege","Eastern"
"1752",133,10,"Lottery","PowerSchool","Eastern"
"1753",183,11,"Lottery","OtherCollege","Western"
"1754",187,12,"Lottery","PowerSchool","Eastern"
"1755",175,13,"Lottery","PowerSchool","Eastern"
"1756",98,14,"Lottery","PowerSchool","Eastern"
"1757",96,15,"MidtoLateFirst","NonCollegiate","Eastern"
"1758",115,16,"MidtoLateFirst","OtherCollege","Eastern"
"1759",158,17,"MidtoLateFirst","OtherCollege","Eastern"
"1760",149,18,"MidtoLateFirst","NonCollegiate","Eastern"
"1761",36,19,"MidtoLateFirst","NonCollegiate","Western"
"1762",196,20,"MidtoLateFirst","OtherCollege","Eastern"
"1763",181,21,"MidtoLateFirst","OtherCollege","Western"
"1764",209,22,"MidtoLateFirst","OtherCollege","Eastern"
"1765",185,23,"MidtoLateFirst","NonCollegiate","Western"
"1766",112,24,"MidtoLateFirst","OtherCollege","Eastern"
"1767",138,25,"MidtoLateFirst","OtherCollege","Western"
"1768",81,26,"MidtoLateFirst","OtherCollege","Eastern"
"1769",51,27,"MidtoLateFirst","OtherCollege","Eastern"
